slug,name,status,source_count,processed_source_count,ingestion_error_count,ioc_count,ioc_observation_count,artifact_count,validation_errors,validation_warnings,ingest_seconds,render_seconds,validate_seconds
uac-0180,UAC-0180,complete,1,1,0,0,0,6,0,13,0,0.052,0.071
uac-0184,UAC-0184,complete,1,1,0,0,0,7,0,14,0,0.054,0.067
uac-0185,UAC-0185,complete,1,1,0,0,0,4,0,9,0,0.052,0.064
uac-0188,UAC-0188,complete,1,1,0,0,0,1,0,3,0,0.053,0.067
uac-0190,UAC-0190,complete,1,1,0,0,0,1,0,3,0,0.052,0.068
uac-0194,UAC-0194,complete,1,1,0,0,0,2,0,5,0,0.053,0.064
uac-0195,UAC-0195,complete,1,1,0,0,0,2,0,5,0,0.052,0.069
uac-0200,UAC-0200,complete,1,1,0,0,0,2,0,5,0,0.052,0.063
uac-0210,UAC-0210,complete,1,1,0,0,0,1,0,3,0,0.073,0.098
uac-0212,UAC-0212,complete,1,1,0,0,0,3,0,7,0,0.051,0.067
unc1066,UNC1066,complete,1,1,0,0,0,0,0,1,0,0.057,0.067
unc1069,UNC1069,complete,1,1,0,1,1,14,0,31,0,0.056,0.067
unc1115,UNC1115,complete,1,1,0,0,0,1,0,3,0,0.07,0.066
unc1130,UNC1130,complete,1,1,0,0,0,5,0,11,0,0.054,0.067
unc1326,UNC1326,complete,1,1,0,0,0,5,0,10,0,0.052,0.066
unc1530,UnC1530,complete,1,1,0,0,0,2,0,5,0,0.052,0.068
unc1549,UNC1549,complete,1,1,0,0,0,4,0,9,0,0.053,0.066
unc1758,UNC1758,complete,1,1,0,0,0,4,0,9,0,0.052,0.066
unc1860,UNC1860,complete,1,1,0,0,0,2,0,5,0,0.053,0.065
unc1873,UNC1873,complete,1,1,0,0,0,1,0,3,0,0.053,0.065
unc1908,UNC1908,complete,1,1,0,0,0,3,0,7,0,0.051,0.066
unc1945,UNC1945,complete,1,1,0,0,0,16,0,26,0,0.055,0.07
unc2062,UNC2062,complete,1,1,0,0,0,4,0,9,0,0.052,0.067
unc215,UNC215,complete,1,1,0,0,0,6,0,9,0,0.056,0.07
unc2198,UNC2198,complete,1,1,0,0,0,3,0,6,0,0.056,0.069
unc2226,UNC2226,complete,1,1,0,0,0,2,0,5,0,0.053,0.066
unc2286,UNC2286,complete,1,1,0,0,0,2,0,5,0,0.053,0.065
unc2428,UNC2428,complete,1,1,0,0,0,3,0,7,0,0.053,0.067
unc2447,UNC2447,complete,1,1,0,0,0,1,0,3,0,0.051,0.071
unc2448,UNC2448,complete,1,1,0,1,1,12,0,27,0,0.054,0.065
unc2465,UNC2465,complete,1,1,0,0,0,2,0,5,0,0.052,0.067
unc2500,UNC2500,complete,1,1,0,0,0,5,0,11,0,0.052,0.066
unc2565,UNC2565,complete,1,1,0,0,0,3,0,7,0,0.053,0.068
unc2596,UNC2596,complete,1,1,0,0,0,6,0,13,0,0.057,0.067
