slug,name,priority,priority_score,tracker_status,corpus_source_count,corpus_mention_count,unresolved_claim_count,partially_supported_claim_count,mitre_group_id,recommended_queries
hellsing-apt,Hellsing APT,low,29,searched,1,1,2,1,,"[""\""Hellsing APT\"" threat actor official advisory"", ""\""Hellsing APT\"" attribution relationship malware"", ""\""Hellsing APT\"" contradiction disputed attribution""]"
stibnite,STIBNITE,low,29,searched,1,1,2,1,,"[""\""STIBNITE\"" threat actor official advisory"", ""\""STIBNITE\"" attribution relationship malware"", ""\""STIBNITE\"" contradiction disputed attribution""]"
tag-82,TAG-82,low,29,searched,1,3,2,0,,"[""\""TAG-82\"" threat actor official advisory"", ""\""TAG-82\"" attribution relationship malware"", ""\""TAG-82\"" contradiction disputed attribution""]"
uac-0132,UAC-0132,low,29,searched,1,3,2,0,,"[""\""UAC-0132\"" threat actor official advisory"", ""\""UAC-0132\"" attribution relationship malware"", ""\""UAC-0132\"" contradiction disputed attribution""]"
unc1908,UNC1908,low,29,searched,1,3,2,0,,"[""\""UNC1908\"" threat actor official advisory"", ""\""UNC1908\"" attribution relationship malware"", ""\""UNC1908\"" contradiction disputed attribution""]"
unc3784,UNC3784,low,29,searched,1,3,2,0,,"[""\""UNC3784\"" threat actor official advisory"", ""\""UNC3784\"" attribution relationship malware"", ""\""UNC3784\"" contradiction disputed attribution""]"
unc4166,UNC4166,low,29,searched,1,3,2,0,,"[""\""UNC4166\"" threat actor official advisory"", ""\""UNC4166\"" attribution relationship malware"", ""\""UNC4166\"" contradiction disputed attribution""]"
unc4209,UNC4209,low,29,searched,1,3,2,0,,"[""\""UNC4209\"" threat actor official advisory"", ""\""UNC4209\"" attribution relationship malware"", ""\""UNC4209\"" contradiction disputed attribution""]"
unc4469,UNC4469,low,29,searched,1,3,2,0,,"[""\""UNC4469\"" threat actor official advisory"", ""\""UNC4469\"" attribution relationship malware"", ""\""UNC4469\"" contradiction disputed attribution""]"
unc5092,UNC5092,low,29,searched,1,3,2,0,,"[""\""UNC5092\"" threat actor official advisory"", ""\""UNC5092\"" attribution relationship malware"", ""\""UNC5092\"" contradiction disputed attribution""]"
unc5135,UNC5135,low,29,searched,1,3,2,0,,"[""\""UNC5135\"" threat actor official advisory"", ""\""UNC5135\"" attribution relationship malware"", ""\""UNC5135\"" contradiction disputed attribution""]"
unc666,UNC666,low,29,searched,1,3,2,0,,"[""\""UNC666\"" threat actor official advisory"", ""\""UNC666\"" attribution relationship malware"", ""\""UNC666\"" contradiction disputed attribution""]"
apt25,APT25,low,28,searched,1,2,2,0,,"[""\""APT25\"" threat actor official advisory"", ""\""APT25\"" attribution relationship malware"", ""\""APT25\"" contradiction disputed attribution""]"
storm-0744,Storm-0744,low,28,searched,1,2,2,0,,"[""\""Storm-0744\"" threat actor official advisory"", ""\""Storm-0744\"" attribution relationship malware"", ""\""Storm-0744\"" contradiction disputed attribution""]"
tag-83,TAG-83,low,28,searched,1,2,2,0,,"[""\""TAG-83\"" threat actor official advisory"", ""\""TAG-83\"" attribution relationship malware"", ""\""TAG-83\"" contradiction disputed attribution""]"
uac-0088,UAC-0088,low,28,searched,1,2,2,0,,"[""\""UAC-0088\"" threat actor official advisory"", ""\""UAC-0088\"" attribution relationship malware"", ""\""UAC-0088\"" contradiction disputed attribution""]"
uac-0195,UAC-0195,low,28,searched,1,2,2,0,,"[""\""UAC-0195\"" threat actor official advisory"", ""\""UAC-0195\"" attribution relationship malware"", ""\""UAC-0195\"" contradiction disputed attribution""]"
unc2226,UNC2226,low,28,searched,1,2,2,0,,"[""\""UNC2226\"" threat actor official advisory"", ""\""UNC2226\"" attribution relationship malware"", ""\""UNC2226\"" contradiction disputed attribution""]"
unc2758,UNC2758,low,28,searched,1,2,2,0,,"[""\""UNC2758\"" threat actor official advisory"", ""\""UNC2758\"" attribution relationship malware"", ""\""UNC2758\"" contradiction disputed attribution""]"
unc3507,UNC3507,low,28,searched,1,2,2,0,,"[""\""UNC3507\"" threat actor official advisory"", ""\""UNC3507\"" attribution relationship malware"", ""\""UNC3507\"" contradiction disputed attribution""]"
unc366,UNC366,low,28,searched,1,2,2,0,,"[""\""UNC366\"" threat actor official advisory"", ""\""UNC366\"" attribution relationship malware"", ""\""UNC366\"" contradiction disputed attribution""]"
unc3666,UNC3666,low,28,searched,1,2,2,0,,"[""\""UNC3666\"" threat actor official advisory"", ""\""UNC3666\"" attribution relationship malware"", ""\""UNC3666\"" contradiction disputed attribution""]"
unc3711,UNC3711,low,28,searched,1,2,2,0,,"[""\""UNC3711\"" threat actor official advisory"", ""\""UNC3711\"" attribution relationship malware"", ""\""UNC3711\"" contradiction disputed attribution""]"
unc3762,UNC3762,low,28,searched,1,2,2,0,,"[""\""UNC3762\"" threat actor official advisory"", ""\""UNC3762\"" attribution relationship malware"", ""\""UNC3762\"" contradiction disputed attribution""]"
unc4131,UNC4131,low,28,searched,1,2,2,0,,"[""\""UNC4131\"" threat actor official advisory"", ""\""UNC4131\"" attribution relationship malware"", ""\""UNC4131\"" contradiction disputed attribution""]"
unc4369,UNC4369,low,28,searched,1,2,2,0,,"[""\""UNC4369\"" threat actor official advisory"", ""\""UNC4369\"" attribution relationship malware"", ""\""UNC4369\"" contradiction disputed attribution""]"
unc4444,UnC4444,low,28,searched,1,2,2,0,,"[""\""UnC4444\"" threat actor official advisory"", ""\""UnC4444\"" attribution relationship malware"", ""\""UnC4444\"" contradiction disputed attribution""]"
unc4814,UNC4814,low,28,searched,1,2,2,0,,"[""\""UNC4814\"" threat actor official advisory"", ""\""UNC4814\"" attribution relationship malware"", ""\""UNC4814\"" contradiction disputed attribution""]"
unc4895,UNC4895,low,28,searched,1,2,2,0,,"[""\""UNC4895\"" threat actor official advisory"", ""\""UNC4895\"" attribution relationship malware"", ""\""UNC4895\"" contradiction disputed attribution""]"
unc4896,UNC4896,low,28,searched,1,2,2,0,,"[""\""UNC4896\"" threat actor official advisory"", ""\""UNC4896\"" attribution relationship malware"", ""\""UNC4896\"" contradiction disputed attribution""]"
unc5142,UNC5142,low,28,searched,1,2,2,0,,"[""\""UNC5142\"" threat actor official advisory"", ""\""UNC5142\"" attribution relationship malware"", ""\""UNC5142\"" contradiction disputed attribution""]"
unc5155,UNC5155,low,28,searched,1,2,2,0,,"[""\""UNC5155\"" threat actor official advisory"", ""\""UNC5155\"" attribution relationship malware"", ""\""UNC5155\"" contradiction disputed attribution""]"
unc786,UNC786,low,28,searched,1,2,2,0,,"[""\""UNC786\"" threat actor official advisory"", ""\""UNC786\"" attribution relationship malware"", ""\""UNC786\"" contradiction disputed attribution""]"
apt-341,APT-341,low,27,searched,1,1,2,0,,"[""\""APT-341\"" threat actor official advisory"", ""\""APT-341\"" attribution relationship malware"", ""\""APT-341\"" contradiction disputed attribution""]"
apt288,APT288,low,27,searched,1,1,2,0,,"[""\""APT288\"" threat actor official advisory"", ""\""APT288\"" attribution relationship malware"", ""\""APT288\"" contradiction disputed attribution""]"
apt292,APT292,low,27,searched,1,1,2,0,,"[""\""APT292\"" threat actor official advisory"", ""\""APT292\"" attribution relationship malware"", ""\""APT292\"" contradiction disputed attribution""]"
apt69,apt69,low,27,searched,1,1,2,0,,"[""\""apt69\"" threat actor official advisory"", ""\""apt69\"" attribution relationship malware"", ""\""apt69\"" contradiction disputed attribution""]"
curious-jackal,Curious Jackal,low,27,searched,1,1,2,0,,"[""\""Curious Jackal\"" threat actor official advisory"", ""\""Curious Jackal\"" attribution relationship malware"", ""\""Curious Jackal\"" contradiction disputed attribution""]"
dev-0230,DEV-0230,low,27,searched,1,1,2,0,,"[""\""DEV-0230\"" threat actor official advisory"", ""\""DEV-0230\"" attribution relationship malware"", ""\""DEV-0230\"" contradiction disputed attribution""]"
dev-0506,DEV-0506,low,27,searched,1,1,2,0,,"[""\""DEV-0506\"" threat actor official advisory"", ""\""DEV-0506\"" attribution relationship malware"", ""\""DEV-0506\"" contradiction disputed attribution""]"
dprk-it-workers,DPRK IT Worker Schemes,low,27,searched,1,1,2,0,,"[""\""DPRK IT Worker Schemes\"" threat actor official advisory"", ""\""DPRK IT Worker Schemes\"" attribution relationship malware"", ""\""DPRK IT Worker Schemes\"" contradiction disputed attribution""]"
evanescent-bat,Evanescent Bat,low,27,searched,1,1,2,0,,"[""\""Evanescent Bat\"" threat actor official advisory"", ""\""Evanescent Bat\"" attribution relationship malware"", ""\""Evanescent Bat\"" contradiction disputed attribution""]"
fin1125,FIN1125,low,27,searched,1,1,2,0,,"[""\""FIN1125\"" threat actor official advisory"", ""\""FIN1125\"" attribution relationship malware"", ""\""FIN1125\"" contradiction disputed attribution""]"
gekko-jackal,Gekko Jackal,low,27,searched,1,1,2,0,,"[""\""Gekko Jackal\"" threat actor official advisory"", ""\""Gekko Jackal\"" attribution relationship malware"", ""\""Gekko Jackal\"" contradiction disputed attribution""]"
shifty-jackal,Shifty Jackal,low,27,searched,1,1,2,0,,"[""\""Shifty Jackal\"" threat actor official advisory"", ""\""Shifty Jackal\"" attribution relationship malware"", ""\""Shifty Jackal\"" contradiction disputed attribution""]"
static-spider,Static Spider,low,27,searched,1,1,2,0,,"[""\""Static Spider\"" threat actor official advisory"", ""\""Static Spider\"" attribution relationship malware"", ""\""Static Spider\"" contradiction disputed attribution""]"
storm-0589,Storm-0589,low,27,searched,1,1,2,0,,"[""\""Storm-0589\"" threat actor official advisory"", ""\""Storm-0589\"" attribution relationship malware"", ""\""Storm-0589\"" contradiction disputed attribution""]"
storm-0601,Storm-0601,low,27,searched,1,1,2,0,,"[""\""Storm-0601\"" threat actor official advisory"", ""\""Storm-0601\"" attribution relationship malware"", ""\""Storm-0601\"" contradiction disputed attribution""]"
storm-0844,Storm-0844,low,27,searched,1,1,2,0,,"[""\""Storm-0844\"" threat actor official advisory"", ""\""Storm-0844\"" attribution relationship malware"", ""\""Storm-0844\"" contradiction disputed attribution""]"
storm-0866,STORM-0866,low,27,searched,1,1,2,0,,"[""\""STORM-0866\"" threat actor official advisory"", ""\""STORM-0866\"" attribution relationship malware"", ""\""STORM-0866\"" contradiction disputed attribution""]"
storm-1376,Storm-1376,low,27,searched,1,1,2,0,,"[""\""Storm-1376\"" threat actor official advisory"", ""\""Storm-1376\"" attribution relationship malware"", ""\""Storm-1376\"" contradiction disputed attribution""]"
storm-1919,Storm-1919,low,27,searched,1,1,2,0,,"[""\""Storm-1919\"" threat actor official advisory"", ""\""Storm-1919\"" attribution relationship malware"", ""\""Storm-1919\"" contradiction disputed attribution""]"
storm-2049,Storm-2049,low,27,searched,1,1,2,0,,"[""\""Storm-2049\"" threat actor official advisory"", ""\""Storm-2049\"" attribution relationship malware"", ""\""Storm-2049\"" contradiction disputed attribution""]"
storm-2126,Storm-2126,low,27,searched,1,1,2,0,,"[""\""Storm-2126\"" threat actor official advisory"", ""\""Storm-2126\"" attribution relationship malware"", ""\""Storm-2126\"" contradiction disputed attribution""]"
