actor_id,canonical_name,mitre_group_id,is_profiled,catalog_slugs,mention_source_count,mention_count,aliases
actor-census--mitre:G0082,APT38,G0082,false,[],54,161,"[""APT38"", ""BeagleBoyz"", ""Bluenoroff"", ""BlueNoroff"", ""COPERNICIUM"", ""COPERNICIUM (Microsoft)"", ""ElectricFish"", ""Genie Spider"", ""NICKEL GLADSTONE"", ""Sapphire Sleet"", ""Stardust Chollima"", ""TA444 (Proofpoint)"", ""TEMP.Hermit""]"
actor-census--sha256:b9c45cb267a8b2fdb69537f39b378017e0a4de5032c8f72cd7f4619a91898c43,APT4,,false,[],8,26,"[""APT4"", ""APT4?"", ""Maverick Panda"", ""PLA Navy"", ""Samurai Panda"", ""Sykipot"", ""Wisp Team""]"
actor-census--mitre:G1044,APT42,G1044,false,[],23,62,"[""APT42""]"
actor-census--sha256:1b81505eb651552f3296eb581175f6a5ca52fe34b4399f4e02b664a073b325d6,APT4415,,false,[],1,1,"[""APT4415""]"
actor-census--sha256:4e71ca1826f69b2947be4348e12610e0a14b518b864a86b48b7213395471975c,APT4422,,false,[],1,1,"[""APT4422""]"
actor-census--sha256:d8e4be1bb3c74e393c775896f20af20cedb2c886ae5e64835757d4f1ac2be19a,APT45,,false,[],8,22,"[""APT45""]"
actor-census--sha256:be81b044b51e952b4457d1ddf87b16b6dfd6a69e84eb5fce18bb85c1815572a0,APT4516,,false,[],1,1,"[""APT4516""]"
actor-census--mitre:G1023,APT5,G1023,false,[],9,39,"[""APT5"", ""BRONZE FLEETWOOD"", ""Bronze Fleetwood"", ""Keyhole Panda"", ""Manganese"", ""MANGANESE"", ""Mulberry Typhoon"", ""TABCTENG"", ""temp.bottle"", ""UNC2630""]"
actor-census--sha256:b60dfc4f37c877fbcb277cb657b3e99204e2201ec43370ea700f845d31889b0c,APT6,,false,[],4,18,"[""1.php Group"", ""APT6""]"
actor-census--sha256:0d450e633a878fa32e915f71bf4d93312cb35aa64a7ab361b3b0cb59c6db968d,apt69,,false,[],1,1,"[""apt69""]"
actor-census--sha256:a4f94751c69c6e12d640d32e8404a4c34de498e53af62f069379025e485f42ff,APT73,,false,[],2,2,"[""APT73""]"
actor-census--mitre:G0143,Aquatic Panda,G0143,false,[],4,8,"[""Aquatic Panda""]"
actor-census--sha256:d457a3caaff476b0d15594253bbc6f82d9c437551f6858681f5cc174a24e84c3,AVIVORE,,false,[],2,7,"[""AVIVORE""]"
actor-census--mitre:G0001,Axiom,G0001,false,[],8,37,"[""APT17"", ""Axiom"", ""Deputy Dog (iDefense)"", ""Dogfish (iDefense)"", ""Group 72"", ""Tailgater Team"", ""Winnti Umbrella""]"
actor-census--mitre:G0135,BackdoorDiplomacy,G0135,false,[],10,28,"[""BackdoorDiplomacy"", ""CloudComputating""]"
actor-census--sha256:55a07ba68783c7e11ae15d2e7a897ba865e66e5c68722221ac26ca4ab667270f,BackdoorDiplomacy,,false,[],10,28,"[""BackdoorDiplomacy"", ""Quarian""]"
actor-census--sha256:35a89c4f3db8f72450021d19bf2a0105c163792a246cfaf2f4f8631971d67164,Bamboo Spider,,false,[],2,6,"[""Bamboo Spider""]"
actor-census--sha256:3fe4c0dfdc77c371c44e1b449ac5bc25535232672784fb53c0cafbecdf07b97c,BARIUM,,false,[],14,45,"[""BARIUM"", ""BRONZE ATLAS"", ""TG-2633"", ""Winnti Umbrella""]"
actor-census--sha256:54ef7ad08e3073c4ada745b63c106e144094a2b83534dcec2dd5c16956e2a9a0,Big Panda,,false,[],4,4,"[""Big Panda""]"
actor-census--mitre:G1043,BlackByte,G1043,false,[],147,472,"[""Black Basta"", ""Black Byte"", ""BlackByte"", ""Conti"", ""DEV-0569"", ""Diavol"", ""Hecamede"", ""Quantum"", ""Royal"", ""Ryuk (as FIN12)"", ""Wizard Spider (DEV-0193)""]"
actor-census--sha256:05c07c77c274a9e748e81c6887123dcdbe0650e2457319ffb57d361eff4fe62a,Blackgear,,false,[],4,20,"[""Blackgear"", ""Comnie"", ""Topgear""]"
actor-census--mitre:G0063,BlackOasis,G0063,false,[],6,27,"[""BlackOasis""]"
actor-census--mitre:G0108,Blue Mockingbird,G0108,false,[],2,7,"[""Blue Mockingbird""]"
actor-census--sha256:d21a93a373f8ff7eadcc0e40dbb75a3f631b62bdac341f6e9365a06a4945b169,Blue Termite,,false,[],6,25,"[""Blue Termite"", ""Cloudy Omega"", ""Emdivi""]"
actor-census--sha256:e3513d48cef3a53d600f410261816e6f6c489e0363dc3751dd35a1b3a2fa643b,Bluebottle,,false,[],1,2,"[""Bluebottle""]"
actor-census--sha256:7d08e86754af5dcaaef07b43ec3f4652451b6ae17eac39ef3fc93036dd23054c,BlueHornet,,false,[],4,12,"[""AgainstTheWest"", ""APT49"", ""BlueHornet""]"
