value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
eu-central-2-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.presidencia-pt.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.ua-mil.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-2-aws.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-east-1-aws.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.ncfta.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.presidencia-pt.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.quirinale.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.ua-energy.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1-aws.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.gov-trust.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.gv-at.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.mil-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.mzv-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.ncfta.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.regeringskansliet-se.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.s3-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.s3-de.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-north-1.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.admin-ch.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.difesa-it.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.gov-trust.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-south-1-aws.mil-be.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
